0 0 26
0 1 9
1 0 1
1 1 22
2 0 25
2 1 4
3 0 15
3 1 24
4 0 11
4 1 13
5 0 7
5 1 17
6 0 18
6 1 2
7 0 18
7 1 4
8 0 11
8 1 19
9 0 22
9 1 24
10 0 11
10 1 15
11 0 24
11 1 18
12 0 21
12 1 26
13 0 1
13 1 15
14 0 6
14 1 21
15 0 15
15 1 0
16 0 9
16 1 13
17 0 21
17 1 0
18 0 10
18 1 17
19 0 0
19 1 15
20 0 2
20 1 0
21 0 25
21 1 23
22 0 8
22 1 23
23 0 14
23 1 15
24 0 12
24 1 21
25 0 14
25 1 22
26 0 15
26 1 1
27 0 1
27 1 12
28 0 26
28 1 15
29 0 17
29 1 22
30 0 20
30 1 17
31 0 25
31 1 17
32 0 25
32 1 8
33 0 11
33 1 10
34 0 13
34 1 2
35 0 24
35 1 15
36 0 7
36 1 12
37 0 13
37 1 12
38 0 7
38 1 26
39 0 0
39 1 12
40 0 26
40 1 21
41 0 4
41 1 18
42 0 9
42 1 1
43 0 6
43 1 14
44 0 17
44 1 4
45 0 7
45 1 14
46 0 21
46 1 19
47 0 1
47 1 2
48 0 1
48 1 2
49 0 24
49 1 11
50 0 19
50 1 16
51 0 7
51 1 26
52 0 20
52 1 0
53 0 6
53 1 0
54 0 4
54 1 24
55 0 5
55 1 3
56 0 18
56 1 8
57 0 26
57 1 16
58 0 9
58 1 3
59 0 7
59 1 15
60 0 2
60 1 4
61 0 12
61 1 13
62 0 17
62 1 5
63 0 0
63 1 10
64 0 11
64 1 3
65 0 18
65 1 26
66 0 17
66 1 23
67 0 4
67 1 11
68 0 13
68 1 16
69 0 20
69 1 15
70 0 25
70 1 12
71 0 11
71 1 15
72 0 20
72 1 11
73 0 23
73 1 6
74 0 14
74 1 2
75 0 5
75 1 11
76 0 8
76 1 3
77 0 7
77 1 4
78 0 22
78 1 16
79 0 0
79 1 3
80 0 15
80 1 19
81 0 5
81 1 9
82 0 4
82 1 20
83 0 13
83 1 21
84 0 20
84 1 10
85 0 7
85 1 3
86 0 4
86 1 7
87 0 12
87 1 22
88 0 8
88 1 16
89 0 0
89 1 7
90 0 13
90 1 4
91 0 22
91 1 24
92 0 10
92 1 18
93 0 26
93 1 25
94 0 11
94 1 12
95 0 24
95 1 12
96 0 0
96 1 26
97 0 21
97 1 3
98 0 14
98 1 20
99 0 9
99 1 19
